feature,mean_normal,mean_leak,mean_blockage,separability
pressure_drop_bc,16109.023402875626,15934.370493101605,19284.37325143776,1539.6922051903725
node_b_pressure,20085.979290491217,20100.92697497017,22915.883449856516,1330.52040528713
pressure_drop_ab,16094.890716609554,16048.996670443103,14289.77734848908,840.3301704275489
pressure_drop_ac,32203.91411948518,31983.36716354471,33574.15059992685,703.7029766074402
node_a_pressure,36180.87000710078,36149.92364541328,37205.66079834559,490.54785463731963
node_c_pressure,3976.955887615593,4166.556481868565,3631.5101984187527,221.49884247483286
tdr_b,22.96324261772126,27.80906335500289,28.1966324077055,2.3809558557294865
wall_shear_a,12.431974960861782,10.38831047558048,10.38831047558048,0.9633926773416821
tdr_c,22.902817963125667,24.41542569150264,25.09487375566622,0.9161962677561071
wall_shear_c,12.255270801481743,10.41584168295427,10.420408884613092,0.8660407095507595
wall_shear_b,9.736279260768766,11.129628227568515,11.37346130466215,0.721205854232556
tdr_a,25.880968952015802,24.420673466914888,24.420673466914888,0.6883898933673037
dp_dt_a,0.9386805772255696,1.4755640551906617,1.475564055190666,0.25308929865075763
dp_dt_b,-0.6075159052497137,-0.297011082155306,-0.29701108215530725,0.146373377334123
velocity_drop_ab,-0.21823513492019056,-0.03468425922235507,0.04030018093555438,0.10860432760963441
velocity_drop_bc,0.21898753811866906,0.0360384697054978,-0.020187026382634754,0.10210895071659276
velocity_a,2.316375270296388,2.48183064674613,2.4607091415175835,0.0735254044992025
velocity_c,2.315622867097909,2.480476436262987,2.440595986964664,0.07022616653192867
pressure_gradient_ratio,1.0023374272695935,1.0099723563308545,0.8585147226408305,0.06966800422279336
dp_dt_c,-1.8012993584102786,-1.9301172078885616,-1.8038204600241952,0.060139895076833254
velocity_b,2.5346104052165783,2.516514905968485,2.4204089605820296,0.05011738419648194
flow_velocity,2.5346104052165783,2.516514905968485,2.4204089605820296,0.05011738419648194
tailings_vof_b,0.3998124352847146,0.39647580458920256,0.4113615866114697,0.006377935116747549
tailings_vof_a,0.4004224044965287,0.40045258341919915,0.4046768844649083,0.0019985058277927985
tailings_vof_c,0.39617688495400244,0.3999684532840366,0.3965537384759999,0.001705490682035352
tke_drop_ab,0.0008058244739649953,-0.0017260960177769378,-0.0009902384031296196,0.001063429967605585
tke_drop_bc,-0.0001931627208876601,0.0016981295088867917,0.0008050376800278107,0.0007725141748838086
tke_b,0.036116033524638644,0.037979480755425746,0.03724362314077843,0.0007663318365498522
tke_a,0.03692185799860364,0.0362533847376488,0.0362533847376488,0.0003151213172420332
tke_c,0.03630919624552631,0.036281351246538945,0.036438585460750614,6.850751062128432e-05
